Image,Energy (eV)
0,-385.59130859375
1,-385.60076904296875
2,-385.47845458984375
3,-384.8125915527344
4,-384.4289855957031
5,-384.7227478027344
6,-385.0361328125
7,-385.1990966796875
8,-385.24847412109375

Migration Barrier,1.171783447265625
