Image,Energy (eV)
0,-252.7397755054287
1,-252.57563326753527
2,-252.09382730343157
3,-251.28509463130888
4,-250.7565085205081
5,-251.27744275502565
6,-252.08872228960334
7,-252.5736664138201
8,-252.74703082315756

Migration Barrier,1.9905223026494525
