Image,Energy (eV)
0,-325.57097402104444
1,-325.4820770034784
2,-325.2121743406656
3,-324.7857033788282
4,-324.7568845537347
5,-325.0949463990396
6,-325.260266183299
7,-325.5161472902193
8,-325.66598602137356

Migration Barrier,0.909101467638834
