Image Index,Energy (eV)
0,-231.50317
1,-231.47096
2,-231.3306
3,-231.05238
4,-230.76425
5,-230.64835
6,-230.55116
7,-230.56503
8,-230.66255

Migration Barrier,0.9520111
