Image,Energy (eV)
0,-261.21787740215024
1,-261.12844709156644
2,-260.81835977736534
3,-260.45688712082466
4,-260.2193761660618
5,-260.1198101293509
6,-260.05589885040945
7,-260.08122298041843
8,-260.1146504626978

Migration Barrier,1.1619785517407877
