Image,Energy (eV)
0,-301.0713081223097
1,-300.9212507752973
2,-300.52897559333053
3,-300.2244789476221
4,-299.9396617591067
5,-300.31654474020337
6,-300.7457544836755
7,-300.89505259377665
8,-301.05462467342255

Migration Barrier,1.1316463632030036
